modelvec,id,firm,market,price,const,mpd,air,space,hpwt,share,share_out,prodvec,newmodv,mpg,quantity
FDTORI,194,18,1,6.597531,1,1.711236,0,1.5939,0.464297,0.00403,0.880106,FDTORI,FDTORI71,1.538,268.726
FDMUST,197,18,1,7.187654,1,1.732376,0,1.425,0.497769,0.001844,0.880106,FDMUST,FDMUST71,1.557,122.933
FDCUST,201,18,1,8.118519,1,1.458668,0,1.736,0.380952,0.000509,0.880106,FDCUST,FDCUST71,1.311,33.945
FDGALA,203,18,1,8.874074,1,1.443091,0,1.736,0.376851,0.003308,0.880106,FDGALA,FDGALA71,1.297,220.572
FDLTD,205,18,1,9.706173,1,1.447541,0,1.736,0.602864,0.004815,0.880106,FDLTD,FDLTD71,1.301,321.053
FDTHNB,207,18,1,13.074074,1,2.050591,0,1.677,0.820232,0.000577,0.880106,FDTHNB,FDTHNB71,1.843,38.489
LCCONT,209,18,1,18.318519,1,2.079519,0,1.8,0.719637,0.000537,0.880106,LCCONT,LCCONT71,1.869,35.802
LCMRKI,210,18,1,21.760494,1,1.970481,0,1.736,0.729562,0.000447,0.880106,LCMRKI,LCMRKI71,1.771,29.828
MCCOME,212,18,1,5.637037,1,2.127363,0,1.3419,0.382848,0.000935,0.880106,MCCOME,MCCOME71,1.912,62.373
MCMONT,214,18,1,6.859259,1,1.648929,0,1.638,0.449195,0.000861,0.880106,MCMONT,MCMONT71,1.482,57.427
MCCOUG,216,18,1,8.120988,1,1.65783,0,1.4972,0.720504,0.000748,0.880106,MCCOUG,MCCOUG71,1.49,49.847
MCMONT,217,18,1,9.525926,1,1.533214,0,1.8,0.595681,0.000469,0.880106,MCMONT,MCMONT71,1.378,31.265
MCMARQ,218,18,1,11.046914,1,1.630014,0,1.8,0.598251,0.001128,0.880106,MCMARQ,MCMARQ71,1.465,75.197
ODCUTL,221,19,1,7.404938,1,1.86478,0,1.6016,0.445879,0.003767,0.880106,ODCUTL,ODCUTL71,1.676,251.14
ODDELT,224,19,1,9.839506,1,1.730151,0,1.768,0.578313,0.0017,0.880106,ODDELT,ODDELT71,1.555,113.352
OD98,226,19,1,11.980247,1,1.862555,0,1.7933,0.716364,0.001699,0.880106,OD98,OD9871,1.674,113.296
ODTORN,227,19,1,13.474074,1,1.920412,0,1.76,0.773994,0.000581,0.880106,ODTORN,ODTORN71,1.726,38.721
PLVALA,231,16,1,5.906173,1,1.852541,0,1.3608,0.440917,0.003696,0.880106,PLVALA,PLVALA71,1.665,246.417
PLBARC,233,16,1,6.553086,1,1.667843,0,1.4025,0.415282,0.000289,0.880106,PLBARC,PLBARC71,1.499,19.246
PLSATL,236,16,1,6.750617,1,1.602198,0,1.6195,0.446291,0.001726,0.880106,PLSATL,PLSATL71,1.44,115.05
PLFURY,240,16,1,7.767901,1,1.4175,0,1.728,0.391363,0.00043,0.880106,PLFURY,PLFURY71,1.274,28.641
PTVNTU,243,19,1,6.14321,1,1.746841,0,1.4235,0.620181,0.000718,0.880106,PTVNTU,PTVNTU71,1.57,47.896
PTLEMA,245,19,1,7.222222,1,1.65783,0,1.5939,0.449055,0.002444,0.880106,PTLEMA,PTLEMA71,1.49,162.983
PTFIRB,248,19,1,7.523457,1,1.604423,0,1.4208,0.458281,0.000791,0.880106,PTFIRB,PTFIRB71,1.442,52.746
PTCATL,250,19,1,9.308642,1,1.469794,0,1.768,0.613196,0.002407,0.880106,PTCATL,PTCATL71,1.321,160.502
PTBNNV,251,19,1,10.395062,1,1.534327,0,1.8,0.66461,0.000606,0.880106,PTBNNV,PTBNNV71,1.379,40.42
PTGRNP,253,19,1,11.251852,1,1.733489,0,1.6401,0.776598,0.001059,0.880106,PTGRNP,PTGRNP71,1.558,70.581
ADSUPE,1474,7,1,7.641975,1,2.201909,0,1.1136,0.465766,3.80E-05,0.880106,ADSUPE,ADSUPE71,1.979,2.51
AD100L,1475,7,1,8.876543,1,1.98272,0,1.2627,0.487908,0.000281,0.880106,AD100L,AD100L71,1.782,18.737
CPSC20,1478,25,1,6.037037,1,2.332088,0,1.092,0.373878,0.000637,0.880106,CPSC20,CPSC2071,2.096,42.441
DTCB11,1479,2,1,4.28642,1,2.79717,0,0.906,0.428481,0.000798,0.880106,DTCB11,DTCB1171,2.514,53.226
DTPL51,1480,2,1,5.234568,1,2.470055,0,0.992,0.439351,0.001576,0.880106,DTPL51,DTPL5171,2.22,105.093
FT850,1481,17,1,3.839506,1,2.789382,0,0.7896,0.277778,3.80E-05,0.880106,FT850,FT85071,2.507,2.501
FT124,1482,17,1,5.138272,1,2.438901,0,1.0368,0.37594,9.90E-05,0.880106,FT124,FT12471,2.192,6.573
HD600,1484,3,1,3.444444,1,2.836113,0,0.8586,0.24375,0.000143,0.880106,HD600,HD60071,2.549,9.509
MZ616,1485,4,1,5.419753,1,2.542376,0,1.0106,0.436725,4.50E-05,0.880106,MZ616,MZ61671,2.285,3.003
MB220/,1487,9,1,13.116049,1,1.858104,0,1.295,0.409722,4.10E-05,0.880106,MB220/,MB220/71,1.67,2.708
MB2200,1488,9,1,13.380247,1,1.820275,0,1.295,0.398514,9.00E-05,0.880106,MB2200,MB220071,1.636,6.016
MB256/,1489,9,1,15.748148,1,1.530989,0,1.295,0.525259,1.00E-04,0.880106,MB256/,MB256/71,1.376,6.638
MB280S,1491,9,1,18.441975,1,1.650041,0,1.183,0.622622,0.000215,0.880106,MB280S,MB280S71,1.483,14.33
OP36,1492,26,1,4.698765,1,2.612473,0,1.053,0.333532,3.30E-05,0.880106,OP36,OP3671,2.348,2.199
PG504,1493,14,1,8.587654,1,2.087308,0,1.1682,0.364356,5.30E-05,0.880106,PG504,PG50471,1.876,3.566
PS914,1494,12,1,8.876543,1,2.280907,0,1.0205,0.430816,0.000158,0.880106,PS914,PS91471,2.05,10.531
PS911,1496,12,1,16.037037,1,1.952679,0,1.0496,0.634495,8.00E-05,0.880106,PS911,PS91171,1.755,5.328
RNR10,1497,24,1,4.555556,1,2.553503,0,1.002,0.293655,0.00011,0.880106,RNR10,RNR1071,2.295,7.366
SA99,1498,11,1,8.333333,1,2.122912,0,1.1352,0.349398,3.50E-05,0.880106,SA99,SA9971,1.908,2.346
TYCORO,1501,1,1,4.920988,1,2.584657,0,0.948,0.450128,0.001746,0.880106,TYCORO,TYCORO71,2.323,116.435
TYCORO,1503,1,1,5.308642,1,2.388832,0,1.0354,0.497696,0.001018,0.880106,TYCORO,TYCORO71,2.147,67.858
TYCRMK,1504,1,1,5.62963,1,2.298709,0,1.1008,0.467532,0.001171,0.880106,TYCRMK,TYCRMK71,2.066,78.092
TYCROW,1505,1,1,7.034568,1,1.773544,0,1.2395,0.387858,5.90E-05,0.880106,TYCROW,TYCROW71,1.594,3.934
TYCELI,1506,1,1,6.414815,1,2.335426,0,1.0332,0.427313,0.000264,0.880106,TYCELI,TYCELI71,2.099,17.572
VWBEET,1507,7,1,4.555556,1,2.692582,0,0.9699,0.319149,0.005318,0.880106,VWBEET,VWBEET71,2.42,354.574
VWSQB,1508,7,1,6.417284,1,2.480069,0,1.1008,0.240629,0.001203,0.880106,VWSQB,VWSQB71,2.229,80.196
VW411,1509,7,1,7.404938,1,2.060604,0,1.1946,0.328294,0.000372,0.880106,VW411,VW41171,1.852,24.78
VV144,1510,6,1,8.320988,1,2.182995,0,1.2627,0.376115,0.000162,0.880106,VV144,VV14471,1.962,10.77
VV164,1511,6,1,10.234568,1,2.082857,0,1.2648,0.441331,0.000145,0.880106,VV164,VV16471,1.872,9.691
AMGREM,254,15,2,4.782297,1,2.253263,0,1.1502,0.400962,0.001468,0.871395,AMGREM,AMGREM72,1.946,100.183
AMHORN,256,15,2,5.41866,1,2.161789,0,1.278,0.371609,0.000795,0.871395,AMHORN,AMHORN72,1.867,54.27
AMJAVL,258,15,2,6.715311,1,1.964947,0,1.4592,0.347705,0.000383,0.871395,AMJAVL,AMJAVL72,1.697,26.152
AMMATA,260,15,2,6.660287,1,2.130526,0,1.6068,0.315358,0.000532,0.871395,AMMATA,AMMATA72,1.84,36.311
AMAMBS,262,15,2,9.294258,1,1.660421,0,1.6536,0.424088,0.000438,0.871395,AMAMBS,AMAMBS71,1.434,29.92
BKLSAB,265,19,2,9.4689,1,1.511053,0,1.768,0.357058,0.002451,0.871395,BKLSAB,BKLSAB72,1.305,167.298
BKCNTU,266,19,2,10.784689,1,1.420737,0,1.768,0.510667,0.000457,0.871395,BKCNTU,BKCNTU72,1.227,31.219
BKELCT,267,19,2,11.698565,1,1.326947,0,1.816,0.498339,0.002454,0.871395,BKELCT,BKELCT72,1.146,167.504
BKRIVE,268,19,2,12.318182,1,1.360526,0,1.744,0.575639,0.009473,0.871395,BKRIVE,BKRIVE72,1.175,646.526
CDCALA,269,19,2,14.205742,1,1.272526,0,1.816,0.468284,0.000101,0.871395,CDCALA,CDCALA72,1.099,6.913
CDDEVI,270,19,2,15.287081,1,1.252842,0,1.816,0.461991,0.00274,0.871395,CDDEVI,CDDEVI72,1.082,186.974
CDELDR,271,19,2,17.296651,1,1.194947,0,1.784,0.501922,0.000587,0.871395,CDELDR,CDELDR72,1.032,40.082
CDFLTW,272,19,2,18.270335,1,1.252842,0,1.84,0.452861,0.000291,0.871395,CDFLTW,CDFLTW72,1.082,19.871
CVVEGA,273,19,2,4.92823,1,2.393368,0,1.122,0.370714,0.003886,0.871395,CVVEGA,CVVEGA72,2.067,265.221
CVNOVA,274,19,2,5.691388,1,2.014737,0,1.387,0.36888,0.004664,0.871395,CVNOVA,CVNOVA72,1.74,318.355
CVCHEV,276,19,2,6.30622,1,1.894316,0,1.5352,0.343321,0.004694,0.871395,CVCHEV,CVCHEV72,1.636,320.4
CVCAMA,281,19,2,6.5311,1,1.802842,0,1.41,0.352451,0.000688,0.871395,CVCAMA,CVCAMA72,1.557,46.932
CVMNTC,283,19,2,8.043062,1,1.850316,0,1.5732,0.470622,0.002964,0.871395,CVMNTC,CVMNTC72,1.598,202.272
CVBISC,284,19,2,7.354067,1,1.831789,0,1.76,0.285196,0.000229,0.871395,CVBISC,CVBISC72,1.582,15.603
CVBELA,286,19,2,7.665072,1,1.582842,0,1.76,0.285418,0.000591,0.871395,CVBELA,CVBELA72,1.367,40.335
CVIMPA,288,19,2,8.059809,1,1.553895,0,1.76,0.280041,0.008336,0.871395,CVIMPA,CVIMPA72,1.342,568.921
CVCAPR,290,19,2,9.590909,1,1.369789,0,1.76,0.407088,0.002686,0.871395,CVCAPR,CVCAPR72,1.183,183.295
CVCORV,292,19,2,13.090909,1,1.739158,0,1.2627,0.622084,0.000384,0.871395,CVCORV,CVCORV72,1.502,26.192
CRNEWP,293,16,2,9.691388,1,1.440421,0,1.8,0.46398,0.001116,0.871395,CRNEWP,CRNEWP72,1.244,76.14
CRNEWY,294,16,2,11.638756,1,1.383684,0,1.8,0.519031,0.00025,0.871395,CRNEWY,CRNEWY72,1.195,17.066
DGCOLT,295,16,2,5.342105,1,2.415368,0,1.0168,0.401548,0.000499,0.871395,DGCOLT,DGCOLT72,2.086,34.057
DGDART,297,16,2,5.789474,1,2.165263,0,1.379,0.350263,0.003278,0.871395,DGDART,DGDART72,1.87,223.709
DGCHLN,300,16,2,6.674641,1,1.806316,0,1.4784,0.358306,0.000369,0.871395,DGCHLN,DGCHLN72,1.56,25.165
DGCORN,303,16,2,6.509569,1,1.738,0,1.6146,0.328358,0.00199,0.871395,DGCORN,DGCORN72,1.501,135.845
DGPOLA,308,16,2,8.655502,1,1.509895,0,1.76,0.391134,0.001197,0.871395,DGPOLA,DGPOLA71,1.304,81.664
DGMONA,309,16,2,9.796651,1,1.433474,0,1.784,0.439698,0.000314,0.871395,DGMONA,DGMONA72,1.238,21.462
FDPINT,311,18,2,4.688995,1,2.448947,0,1.141,0.262009,0.0063,0.871395,FDPINT,FDPINT72,2.115,430.003
FDMAVE,314,18,2,5.251196,1,2.709474,0,1.3277,0.379981,0.00335,0.871395,FDMAVE,FDMAVE72,2.34,228.649
FDTORI,316,18,2,6.318182,1,1.817895,0,1.696,0.279165,0.00083,0.871395,FDTORI,FDTORI72,1.57,56.673
FDMUST,319,18,2,6.409091,1,2.078421,0,1.425,0.341733,0.001692,0.871395,FDMUST,FDMUST72,1.795,115.45
FDGRAN,321,18,2,6.854067,1,1.975368,0,1.425,0.355909,0.00434,0.871395,FDGRAN,FDGRAN72,1.706,296.191
FDCUST,323,18,2,7.76555,1,1.669684,0,1.752,0.276807,0.000322,0.871395,FDCUST,FDCUST72,1.442,22
FDGLX5,324,18,2,8.461722,1,1.652316,0,1.752,0.273572,0.002647,0.871395,FDGLX5,FDGLX572,1.427,180.67
FDLTD,327,18,2,9.30622,1,1.446211,0,1.752,0.376384,0.004372,0.871395,FDLTD,FDLTD72,1.249,298.419
FDTHNB,329,18,2,12.662679,1,1.250526,0,1.728,0.484793,0.00082,0.871395,FDTHNB,FDTHNB72,1.08,55.962
IMLEBA,330,16,2,16.215311,1,1.330421,1,1.888,0.454087,0.00021,0.871395,IMLEBA,IMLEBA72,1.149,14.321
LCCONT,331,18,2,17.4689,1,1.541158,1,1.8,0.451795,0.000656,0.871395,LCCONT,LCCONT72,1.331,44.8
LCMARK,332,18,2,20.669856,1,1.310737,1,1.768,0.442404,0.000727,0.871395,LCMARK,LCMARK72,1.132,49.634
MCCOME,333,18,2,5.736842,1,2.336632,0,1.3277,0.534779,0.000975,0.871395,MCCOME,MCCOME72,2.018,66.577
MCMONT,335,18,2,6.801435,1,1.673158,0,1.6827,0.405327,0.001575,0.871395,MCMONT,MCMONT72,1.445,107.526
MCCOUG,337,18,2,7.215311,1,1.674316,0,1.4972,0.499695,0.000706,0.871395,MCCOUG,MCCOUG72,1.446,48.178
MCMONT,338,18,2,9.074163,1,1.426526,0,1.8,0.394101,0.000369,0.871395,MCMONT,MCMONT72,1.232,25.161
MCMARQ,340,18,2,10.748804,1,1.555053,0,1.8,0.474236,0.001244,0.871395,MCMARQ,MCMARQ72,1.343,84.879
ODCUTL,342,19,2,7.334928,1,1.76,0,1.6016,0.464711,0.004136,0.871395,ODCUTL,ODCUTL71,1.52,282.314
ODDELT,344,19,2,9.444976,1,1.496,0,1.784,0.382135,0.00152,0.871395,ODDELT,ODDELT72,1.292,103.725
OD98,346,19,2,11.5,1,1.432316,0,1.824,0.505845,0.001744,0.871395,OD98,OD9872,1.237,119.028
ODTORN,347,19,2,12.777512,1,1.376737,0,1.768,0.550176,0.000681,0.871395,ODTORN,ODTORN72,1.189,46.463
PLVALA,351,16,2,5.65311,1,2.159474,0,1.3419,0.357143,0.004331,0.871395,PLVALA,PLVALA72,1.865,295.574
PLBARC,353,16,2,6.483254,1,1.842211,0,1.4025,0.361842,0.000251,0.871395,PLBARC,PLBARC72,1.591,17.155
PLSATL,356,16,2,6.406699,1,1.769263,0,1.6195,0.335366,0.001874,0.871395,PLSATL,PLSATL72,1.528,127.894
PLFURY,359,16,2,8.287081,1,1.515684,0,1.744,0.390625,0.000337,0.871395,PLFURY,PLFURY71,1.309,23.002
PTVNTU,362,19,2,5.870813,1,2.008947,0,1.4235,0.369251,0.00097,0.871395,PTVNTU,PTVNTU72,1.735,66.178
PTLEMA,364,19,2,6.732057,1,1.812105,0,1.5939,0.336494,0.002559,0.871395,PTLEMA,PTLEMA72,1.565,174.622
PTLMNS,366,19,2,8.107656,1,1.450842,0,1.5939,0.398506,0.00032,0.871395,PTLMNS,PTLMNS72,1.253,21.864
PTFIRB,367,19,2,6.789474,1,1.832947,0,1.4208,0.347113,0.002612,0.871395,PTFIRB,PTFIRB72,1.583,178.271
PTCATL,369,19,2,8.882775,1,1.504105,0,1.784,0.385171,0.000544,0.871395,PTCATL,PTCATL72,1.299,37.104
PTBNNV,370,19,2,9.973684,1,1.435789,0,1.816,0.431437,0.001417,0.871395,PTBNNV,PTBNNV72,1.24,96.716
AR2000,1512,20,2,10.177033,1,2.036737,0,1.0726,0.528256,2.90E-05,0.871395,AR2000,AR200072,1.759,1.982
AD90,1513,7,2,7.643541,1,2.312316,0,1.1136,0.41919,4.00E-04,0.871395,AD90,AD9072,1.997,27.288
BWBAVR,1516,8,2,13.289474,1,1.881579,0,1.2765,0.662945,0.000399,0.871395,BWBAVR,BWBAVR72,1.625,27.253
CPSPOR,1517,25,2,6.047847,1,2.168737,0,1.092,0.30389,2.30E-05,0.871395,CPSPOR,CPSPOR72,1.873,1.591
DTLB11,1519,2,2,4.727273,1,2.910947,0,0.906,0.428481,0.000963,0.871395,DTLB11,DTLB1172,2.514,65.721
DTPL51,1520,2,2,5.875598,1,2.600632,0,0.992,0.450759,0.00106,0.871395,DTPL51,DTPL5171,2.246,72.33
FT128,1523,17,2,4.803828,1,2.842632,0,0.9702,0.279202,6.60E-05,0.871395,FT128,FT12872,2.455,4.494
MZ808,1525,4,2,5.490431,1,2.760421,0,1.008,0.357143,5.10E-05,0.871395,MZ808,MZ80872,2.384,3.49
MZRX3,1527,4,2,6.925837,1,2.476737,0,1.008,0.430622,8.10E-05,0.871395,MZRX3,MZRX372,2.139,5.528
MB220/,1528,9,2,14.992823,1,1.883895,0,1.295,0.395575,3.80E-05,0.871395,MB220/,MB220/71,1.627,2.618
MB2200,1529,9,2,15.342105,1,1.849158,0,1.295,0.386252,8.70E-05,0.871395,MB2200,MB220071,1.597,5.968
MB250/,1530,9,2,17.267943,1,1.763474,0,1.295,0.496993,4.80E-05,0.871395,MB250/,MB250/72,1.523,3.269
MB280S,1531,9,2,22.73445,1,1.757684,1,1.3896,0.463674,0.000191,0.871395,MB280S,MB280S72,1.518,13.038
OP31,1532,26,2,4.901914,1,2.545053,0,1.0044,0.399574,1.30E-05,0.871395,OP31,OP3172,2.198,0.882
PG504,1533,14,2,8.935407,1,2.138632,0,1.1682,0.388119,4.60E-05,0.871395,PG504,PG50471,1.847,3.161
PSRDST,1534,12,2,8.983254,1,2.457053,0,1.0205,0.430816,0.000227,0.871395,PSRDST,PSRDST72,2.122,15.479
PS911T,1535,12,2,17.344498,1,2.120105,0,1.0496,0.636771,7.70E-05,0.871395,PS911T,PS911T72,1.831,5.239
RNR12,1536,24,2,5.490431,1,2.459368,0,1.1245,0.356098,4.50E-05,0.871395,RNR12,RNR1272,2.124,3.067
SA99RE,1537,11,2,9.078947,1,2.054105,0,1.1524,0.372549,4.60E-05,0.871395,SA99RE,SA99RE72,1.774,3.118
TYCORO,1540,1,2,5.217703,1,2.689789,0,0.948,0.450128,0.001596,0.871395,TYCORO,TYCORO71,2.323,108.896
TYCORO,1542,1,2,5.705742,1,2.655053,0,0.9405,0.447005,0.000725,0.871395,TYCORO,TYCORO71,2.293,49.477
TYMKII,1543,1,2,6.145933,1,2.474421,0,1.1008,0.420824,0.000875,0.871395,TYMKII,TYMKII72,2.137,59.744
VWBEET,1545,7,2,4.782297,1,2.802105,0,0.9699,0.319149,0.005281,0.871395,VWBEET,VWBEET71,2.42,360.449
VWSQBA,1546,7,2,6.576555,1,2.580947,0,1.1008,0.240629,0.000726,0.871395,VWSQBA,VWSQBA72,2.229,49.529
VW411,1547,7,2,7.834928,1,2.061053,0,1.1946,0.328294,0.000477,0.871395,VW411,VW41171,1.78,32.562
VV144,1548,6,2,8.588517,1,2.122421,0,1.2627,0.374517,0.00015,0.871395,VV144,VV14471,1.833,10.227
VV164,1549,6,2,10.454545,1,1.915158,0,1.2648,0.433287,0.000149,0.871395,VV164,VV16471,1.654,10.151
AMGREM,373,15,3,4.725225,1,2.067804,0,1.1786,0.378501,0.001904,0.885776,AMGREM,AMGREM72,1.807,133.018
AMHORN,375,15,3,5.277027,1,2.079247,0,1.3135,0.350385,0.001289,0.885776,AMHORN,AMHORN72,1.817,90.029
AMJAVL,377,15,3,6.506757,1,1.923619,0,1.4668,0.348675,0.000385,0.885776,AMJAVL,AMJAVL72,1.681,26.894
AMMATA,379,15,3,6.425676,1,1.828639,0,1.6302,0.304044,0.000624,0.885776,AMMATA,AMMATA72,1.598,43.622
AMAMBS,381,15,3,10.047297,1,1.694753,1,1.6614,0.398618,0.000422,0.885776,AMAMBS,AMAMBS71,1.481,29.477
BKAPOL,382,19,3,5.918919,1,1.948794,0,1.4454,0.317259,0.000525,0.885776,BKAPOL,BKAPOL73,1.703,36.679
BKCENT,384,19,3,6.885135,1,1.521959,0,1.6614,0.396825,0.00349,0.885776,BKCENT,BKCENT73,1.33,243.792
BKLSAB,387,19,3,9.004505,1,1.399515,0,1.8,0.354275,0.002043,0.885776,BKLSAB,BKLSAB72,1.223,142.697
BKCNTU,389,19,3,9.887387,1,1.328567,0,1.8,0.40425,0.00072,0.885776,BKCNTU,BKCNTU73,1.161,50.275
BKELCT,390,19,3,11.099099,1,1.290804,0,1.84,0.491159,0.002141,0.885776,BKELCT,BKELCT72,1.128,149.579
BKRIVE,391,19,3,11.759009,1,1.29767,0,1.792,0.557289,4.00E-04,0.885776,BKRIVE,BKRIVE72,1.134,27.911
CDCALA,392,19,3,13.599099,1,1.265629,0,1.832,0.444175,0.000102,0.885776,CDCALA,CDCALA72,1.106,7.125
CDDEVI,393,19,3,14.63964,1,1.256474,0,1.832,0.441324,0.002894,0.885776,CDDEVI,CDDEVI72,1.098,202.156
CDELDR,394,19,3,16.576577,1,1.122588,0,1.776,0.481557,0.000719,0.885776,CDELDR,CDELDR72,0.981,50.205
CDFLTW,395,19,3,17.488739,1,1.253041,0,1.856,0.431203,0.000319,0.885776,CDFLTW,CDFLTW72,1.095,22.305
CVVEGA,396,19,3,4.70045,1,2.349309,0,1.1418,0.32447,0.004842,0.885776,CVVEGA,CVVEGA73,2.053,338.289
CVNOVA,397,19,3,5.421171,1,2.001433,0,1.4235,0.326264,0.00473,0.885776,CVNOVA,CVNOVA72,1.749,330.445
CVCAMA,405,19,3,6.263514,1,1.856103,0,1.4175,0.320616,0.001512,0.885776,CVCAMA,CVCAMA72,1.622,105.592
CVMNTC,407,19,3,7.691441,1,1.762268,0,1.6458,0.39052,0.003996,0.885776,CVMNTC,CVMNTC73,1.54,279.13
CVBELA,408,19,3,7.313063,1,1.626093,0,1.776,0.256739,0.000509,0.885776,CVBELA,CVBELA72,1.421,35.537
CVIMPA,410,19,3,8.45045,1,1.437278,0,1.776,0.350411,0.006813,0.885776,CVIMPA,CVIMPA73,1.256,475.942
CVCAPR,411,19,3,9.153153,1,1.41668,0,1.776,0.359195,0.002755,0.885776,CVCAPR,CVCAPR73,1.238,192.473
CVCORV,413,19,3,12.691441,1,1.665,0,1.2765,0.571257,0.000419,0.885776,CVCORV,CVCORV72,1.455,29.303
CRNEWP,414,16,3,9.416667,1,1.349165,0,1.848,0.440476,0.001007,0.885776,CRNEWP,CRNEWP72,1.179,70.363
CRNEWY,415,16,3,11.254505,1,1.341155,0,1.848,0.493685,0.000156,0.885776,CRNEWY,CRNEWY72,1.172,10.922
